timestamp,date,latitude,longitude
1601436821,"2020-09-30 03:33:41",52.242808,0.018875
1601436880,"2020-09-30 03:34:40",52.242808,0.018875
1601438184,"2020-09-30 03:56:24",52.242808,0.018875
1601438609,"2020-09-30 04:03:29",52.242808,0.018875
1601438803,"2020-09-30 04:06:43",52.242808,0.018875
1601439144,"2020-09-30 04:12:24",52.242808,0.018875
1601439196,"2020-09-30 04:13:16",52.242808,0.018875
1601439197,"2020-09-30 04:13:17",52.242808,0.018875
1601440480,"2020-09-30 04:34:40",52.242808,0.018875
1601441496,"2020-09-30 04:51:36",52.242808,0.018875
1601441639,"2020-09-30 04:53:59",52.242808,0.018875
1601442075,"2020-09-30 05:01:15",52.242808,0.018875
1601442155,"2020-09-30 05:02:35",52.242808,0.018875
1601442725,"2020-09-30 05:12:05",52.242808,0.018875
1601442939,"2020-09-30 05:15:39",52.242808,0.018875
1601443500,"2020-09-30 05:25:00",52.242808,0.018875
1601443718,"2020-09-30 05:28:38",52.242808,0.018875
1601444359,"2020-09-30 05:39:19",52.242808,0.018875
1601444482,"2020-09-30 05:41:22",52.242808,0.018875
1601445384,"2020-09-30 05:56:24",52.242808,0.018875
1601445641,"2020-09-30 06:00:41",52.242808,0.018875
1601445729,"2020-09-30 06:02:09",52.242808,0.018875
1601446396,"2020-09-30 06:13:16",52.242808,0.018875
1601446523,"2020-09-30 06:15:23",52.242808,0.018875
1601447275,"2020-09-30 06:27:55",52.242808,0.018875
1601447313,"2020-09-30 06:28:33",52.242808,0.018875
1601447343,"2020-09-30 06:29:03",52.242808,0.018875
1601447372,"2020-09-30 06:29:32",52.242808,0.018875
1601447379,"2020-09-30 06:29:39",52.242808,0.018875
1601447496,"2020-09-30 06:31:36",52.242808,0.018875
1601447646,"2020-09-30 06:34:06",52.242808,0.018875
1601447676,"2020-09-30 06:34:36",52.242808,0.018875
1601447682,"2020-09-30 06:34:42",52.242808,0.018875
1601447700,"2020-09-30 06:35:00",52.242808,0.018875
1601447749,"2020-09-30 06:35:49",52.242808,0.018875
1601447917,"2020-09-30 06:38:37",52.242808,0.018875
1601448085,"2020-09-30 06:41:25",52.242808,0.018875
1601448469,"2020-09-30 06:47:49",52.242808,0.018875
1601448577,"2020-09-30 06:49:37",52.242808,0.018875
1601448686,"2020-09-30 06:51:26",52.24281,0.018855
1601448705,"2020-09-30 06:51:45",52.242684,0.019083
1601448707,"2020-09-30 06:51:47",52.242736,0.018906
1601448713,"2020-09-30 06:51:53",52.242796,0.018804
1601448718,"2020-09-30 06:51:58",52.242859,0.018613
1601448741,"2020-09-30 06:52:21",52.242843,0.018635
1601448801,"2020-09-30 06:53:21",52.242765,0.018763
1601448803,"2020-09-30 06:53:23",52.242761,0.01877
1601448804,"2020-09-30 06:53:24",52.242761,0.01877
1601448805,"2020-09-30 06:53:25",52.242761,0.01877
1601448806,"2020-09-30 06:53:26",52.242761,0.01877
1601448811,"2020-09-30 06:53:31",52.242761,0.01877
1601448818,"2020-09-30 06:53:38",52.242761,0.01877
1601448842,"2020-09-30 06:54:02",52.242761,0.01877
1601448868,"2020-09-30 06:54:28",52.242761,0.01877
1601448871,"2020-09-30 06:54:31",52.242816,0.018742
1601448896,"2020-09-30 06:54:56",52.242808,0.018749
1601448912,"2020-09-30 06:55:12",52.242808,0.018749
1601448936,"2020-09-30 06:55:36",52.242777,0.018801
1601448948,"2020-09-30 06:55:48",52.242777,0.018801
1601448951,"2020-09-30 06:55:51",52.24272,0.018705
1601448953,"2020-09-30 06:55:53",52.24272,0.018705
1601449028,"2020-09-30 06:57:08",52.242725,0.01879
1601449044,"2020-09-30 06:57:24",52.242763,0.018768
1601449045,"2020-09-30 06:57:25",52.242763,0.018768
1601449050,"2020-09-30 06:57:30",52.242762,0.018769
1601450809,"2020-09-30 07:26:49",52.24272,0.018785
1601450815,"2020-09-30 07:26:55",52.242838,0.018726
1601450817,"2020-09-30 07:26:57",52.242831,0.01866
1601450820,"2020-09-30 07:27:00",52.242683,0.018633
1601450821,"2020-09-30 07:27:01",52.242837,0.018581
1601450822,"2020-09-30 07:27:02",52.242766,0.018751
1601450823,"2020-09-30 07:27:03",52.242766,0.018751
1601450826,"2020-09-30 07:27:06",52.242784,0.018788
1601450827,"2020-09-30 07:27:07",52.242784,0.018788
1601450828,"2020-09-30 07:27:08",52.242784,0.018788
1601450829,"2020-09-30 07:27:09",52.242789,0.018796
1601450963,"2020-09-30 07:29:23",52.242701,0.018659
1601450965,"2020-09-30 07:29:25",52.242574,0.018633
1601450967,"2020-09-30 07:29:27",52.242401,0.018594
1601450969,"2020-09-30 07:29:29",52.242283,0.018573
1601450971,"2020-09-30 07:29:31",52.242179,0.018572
1601450976,"2020-09-30 07:29:36",52.242084,0.01859
1601451023,"2020-09-30 07:30:23",52.242018,0.018487
1601451025,"2020-09-30 07:30:25",52.241904,0.018489
1601451027,"2020-09-30 07:30:27",52.241783,0.018495
1601451029,"2020-09-30 07:30:29",52.241665,0.018494
1601451031,"2020-09-30 07:30:31",52.241542,0.018515
1601451032,"2020-09-30 07:30:32",52.241454,0.01853
1601451034,"2020-09-30 07:30:34",52.241302,0.018523
1601451036,"2020-09-30 07:30:36",52.241166,0.018494
1601451038,"2020-09-30 07:30:38",52.241028,0.018425
1601451040,"2020-09-30 07:30:40",52.240857,0.018335
1601451042,"2020-09-30 07:30:42",52.240697,0.018218
1601451044,"2020-09-30 07:30:44",52.240514,0.018126
1601451046,"2020-09-30 07:30:46",52.240355,0.018076
1601451047,"2020-09-30 07:30:47",52.240251,0.01806
1601451049,"2020-09-30 07:30:49",52.240076,0.01804
1601451051,"2020-09-30 07:30:51",52.239952,0.018034
1601451053,"2020-09-30 07:30:53",52.23988,0.018098
1601451055,"2020-09-30 07:30:55",52.239823,0.01831
1601451057,"2020-09-30 07:30:57",52.239745,0.018592
1601451058,"2020-09-30 07:30:58",52.239683,0.018784
1601451059,"2020-09-30 07:30:59",52.239622,0.018973
1601451060,"2020-09-30 07:31:00",52.239553,0.019137
